date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:30	28932/28932	---M--	200	added ('OK')	image/jpeg	etag:%227104-61aef5df-1994e71677da63a8;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-5.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-5.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:30	49603/49603	---M--	200	added ('OK')	image/jpeg	etag:%22c1c3-61aef5df-4c5c0ec3fd358f42;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-4.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-4.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:32	1535/1535	---M--	200	added ('OK')	image/png	etag:%225ff-61aef5df-611d32fc3028d1ee;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/footer-logo-two.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/footer-logo-two.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:33	1001/1001	---M--	200	added ('OK')	image/png	etag:%223e9-61aef5e0-3cd1ba007958f3c;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/zairito-logo.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/zairito-logo.png	(from http://zairito-html.zainiktheme.com/demo/index3.html)
22:31:33	38258/38258	---M--	200	added ('OK')	image/jpeg	etag:%229572-61aef5df-4a3f0dec053a8f07;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-6.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-6.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:36	352/352	---M-Z	200	added ('OK')	image/svg+xml	etag:%22160-61aef5df-e87e06c2c898788d;gz%22	http://zairito-html.zainiktheme.com/demo/assets/images/menu-bar.svg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/menu-bar.svg	(from http://zairito-html.zainiktheme.com/demo/index3.html)
22:32:01	127779/127779	---M--	200	added ('OK')	image/png	etag:%221f323-61aef5df-7cc554358e927cd1;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/hero-section-v3-image-1.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/hero-section-v3-image-1.png	(from http://zairito-html.zainiktheme.com/demo/index3.html)
22:32:01	68218/68218	---M--	200	added ('OK')	image/jpeg	etag:%2210a7a-61aef5df-c855897e7588250a;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-1.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-1.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:32:06	4078/4078	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fee-61aef5df-e2bfeaf77becba7b;gz%22	http://zairito-html.zainiktheme.com/demo/assets/images/feature-icon-1.svg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/feature-icon-1.svg	(from http://zairito-html.zainiktheme.com/demo/index3.html)
22:32:12	103874/103874	---M--	200	added ('OK')	image/png	etag:%22195c2-61aef5df-f7052d2d8fce0f18;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/hero-section-v3-image-2.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/hero-section-v3-image-2.png	(from http://zairito-html.zainiktheme.com/demo/index3.html)
